Rep,Qte,Designation,Reference constructeur / type,Boitier,Role
J1-J2,2,Barrette femelle 1x16 pas 2.54 (15 utilises),Header femelle tulipe,THT 2.54,Support ESP32 DevKit V1 - Fritzing n a pas de modele 15 points
J3,1,Bornier a vis 2 pts pas 5.08,ex. MKDSN 1.5/2-5.08,THT,Entree 12 V logique (ATX)
J4,1,Bornier a vis 4 pts pas 7.62 - 20 A/pole,ex. MKDSP 5/4-7.62,THT,Puissance broche : +12V_SP / MOT+ / MOT- / PGND
J5,1,Bornier a vis 2 pts pas 5.08,MKDSN 1.5/2-5.08,THT,PS_ON ATX (fil vert) + GND
J6,1,Bornier a vis 2 pts pas 5.08,MKDSN 1.5/2-5.08,THT,Bouton E-STOP contact NF n1 vers GPIO15
J7-J10,4,Bornier a vis 3 pts pas 5.08,MKDSN 1.5/3-5.08,THT,Fins de course X Y Z A : SIG / BOUCLE / GND
J11-J15,5,Bornier a vis 4 pts pas 5.08,MKDSN 1.5/4-5.08,THT,Vers TB6600 X Y Z A C : PUL+ / DIR+ / ENA+ / GND
J16,1,Bornier a vis 2 pts pas 5.08,MKDSN 1.5/2-5.08,THT,Entree 5 V auxiliaire (option survie E-STOP)
U1-U3,3,Tampon 3-etats quadruple TTL,SN74AHCT125N,DIP-14,Adaptation 3.3 V -> 5 V (AHCT obligatoire pas AHC)
-,3,Support DIP-14 tulipe,-,THT,Remplacement des tampons sans dessouder
U4,1,Module abaisseur 12 V -> 5 V 3 A,MP1584EN mini (ou LM2596),Module 4 pts,Alimentation logique
Q1,1,MOSFET N canal logic-level 195 A 40 V,IRLB3034PbF,TO-220AB,Commutation broche 775 cote bas
Q2,1,MOSFET N canal petit signal,2N7002 ou BS170,SOT-23 / TO-92,Pilotage LED E-STOP
Q3,1,Transistor NPN 800 mA,BC337-40 ou 2N2222A,TO-92,Suiveur d'emetteur pour bus ENA (5 optos = ~40 mA)
Q4,1,MOSFET N canal petit signal,2N7002 ou BS170,SOT-23 / TO-92,Pilotage LED DRIVERS OFF
D1,1,Diode Schottky 3 A 40 V,SS34 / 1N5822,SMA / DO-201,Protection inversion de polarite logique
D2,1,Diode Schottky 20 A 45 V,SB2040 / MBR2045CT,TO-220,Roue libre moteur broche - OBLIGATOIRE
D3,1,Diode TVS unidirectionnelle 18 V,SMBJ18A,SMB,Ecretage des surtensions rail 12 V
D4-D8,5,Double Schottky serie 30 V 200 mA,BAT54S,SOT-23,Ecretage entrees capteurs vers 3V3/GND
F1,1,Porte-fusible a lame ATO etanche EN LIGNE + fusible 20 A,-,hors carte,Protection branche broche - monte sur le fil +12 V pas sur le CI
F2,1,Porte-fusible 5x20 sur CI + fusible 2 A,-,THT,Protection branche logique
LED1,1,LED verte 3 mm,-,THT,PWR (rail 5 V present)
LED2,1,LED rouge 3 mm,-,THT,DRIVERS OFF (ENA haut = moteurs desactives)
LED3,1,LED rouge 5 mm,-,THT,E-STOP DECLENCHE
LED4,1,LED orange 3 mm,-,THT,BROCHE EN MARCHE
R1-R10,10,Resistance 100 ohm 1/4 W,-,THT 0.25W,Serie STEP/DIR - amortissement des cables
R11,1,Resistance 1 kohm 1/4 W,-,THT,Base Q3
R12,1,Resistance 10 kohm 1/4 W,-,THT,Rappel base Q3 a 5 V (force ENA haut si tampon Hi-Z)
R13,1,Resistance 22 ohm 1/4 W,-,THT,Serie grille Q1
R14,1,Resistance 100 kohm 1/4 W,-,THT,Rappel grille Q1 a la masse - broche OFF au boot
R15-R18,4,Resistance 1 kohm 1/4 W,-,THT,Serie entrees fins de course
R19-R22,4,Resistance 10 kohm 1/4 W,-,THT,Rappel externe 3V3 entrees fins de course
R23,1,Resistance 1 kohm 1/4 W,-,THT,Serie entree E-STOP
R24,1,Resistance 10 kohm 1/4 W,-,THT,Rappel externe 3V3 entree E-STOP
R25,1,Resistance 10 kohm 1/4 W,-,THT,Rappel grille Q2 a la masse
R26-R29,4,Resistance 1 kohm 1/4 W,-,THT,Limitation LED1 a LED4
R30,1,Resistance 1 kohm 1/4 W,-,THT,Rappel bus ENA a la masse
R31,1,Resistance 1 kohm 1/4 W,-,THT,Limitation LED2 cote 5 V
R32,1,Resistance 10 kohm 1/4 W,-,THT,Rappel grille Q4 a la masse
C1,1,Condensateur electrochimique 470 uF 25 V,-,THT 8x12,Reservoir entree 12 V logique
C2,1,Condensateur electrochimique 220 uF 16 V,-,THT 6x11,Reservoir 5 V
C3-C5,3,Condensateur ceramique 100 nF 50 V,-,THT 5.08,Decouplage U1 U2 U3 - au ras du boitier
C6-C10,5,Condensateur ceramique 100 nF 50 V,-,THT 5.08,Filtrage entrees capteurs et E-STOP
C11,1,Condensateur electrochimique 1000 uF 25 V faible ESR,-,THT 10x20,Reservoir branche broche - au ras de J4
C12,1,Condensateur ceramique 100 nF 100 V,-,THT 5.08,Decouplage HF branche broche
JP1,1,Barrette male 1x3 pas 2.54 + cavalier,-,THT,Selection source 5 V : buck ou auxiliaire
JP2-JP5,4,Barrette male 1x2 pas 2.54 + cavalier,-,THT,Fermeture boucle capteur (un seul capteur par axe)
JP6,1,Barrette male 1x2 pas 2.54 + cavalier,-,THT,Pontage PS_ON pour essais sans coup-de-poing
TP1-TP4,4,Point de test / picot,-,THT,+5V / +3V3 / GND / ESTOP
HS1,1,Dissipateur clipsable TO-220,-,-,Marge thermique Q1 (pointes de demarrage broche)
-,4,Entretoise M3 + vis,-,-,Fixation carte dans le coffret
-,1,Circuit imprime 2 couches 100x100 mm cuivre 35 um,-,-,35 um suffit grace au renfort au fil soude
-,1,Fil de cuivre etame rigide 1.5 mm2 (20 cm),-,-,Renfort soude des 3 liaisons 17 A de la branche broche
