Net,Connexions,Commentaire
+12V_LOG,J3.1 ; F2.1,Entree 12 V logique depuis ATX (fil jaune Molex)
+12V_F,F2.2 ; D1.A,Apres fusible 2 A
+12V_D,D1.K ; C1.+ ; U4.IN+ ; D3.1,Apres diode anti-inversion SS34
+5V,U4.OUT+ ; JP1.1,Sortie buck MP1584 (regle a 5.00 V AVANT de brancher quoi que ce soit)
+5V_EXT,J16.1 ; JP1.3,Entree 5 V auxiliaire (chargeur USB separe) - optionnel
+5V_SYS,JP1.2 ; C2.+ ; U1.14 ; U2.14 ; U3.14 ; J1.15(VIN) ; R12.1 ; R26.1 ; R31.1 ; Q3.C,Rail 5 V de la carte
+3V3,J2.15(3V3) ; R19.1 ; R20.1 ; R21.1 ; R22.1 ; R24.1 ; D4.3 ; D5.3 ; D6.3 ; D7.3 ; D8.3,3V3 fourni par l'AMS1117 du DevKit - courant faible uniquement
GND,J1.14 ; J2.14 ; U1.7 ; U2.7 ; U3.7 ; U4.GND ; C1.- ; C2.- ; C3..C10 ; J3.2 ; J5.2 ; J6.2 ; J7.3 ; J8.3 ; J9.3 ; J10.3 ; J11.4 ; J12.4 ; J13.4 ; J14.4 ; J15.4 ; R14.2 ; R30.2 ; Q2.S ; Q4.S ; D4.2 ; D5.2 ; D6.2 ; D7.2 ; D8.2,Masse signal - etoile unique vers PGND
PGND,J4.4 ; Q1.S ; C11.- ; C12.- ; D3.2,Masse puissance broche - rejoint GND en UN SEUL point pres de J4
X_STEP_L,J1.9(GPIO26) ; U1.2,3.3 V
X_DIR_L,J1.10(GPIO27) ; U1.5,3.3 V
Y_STEP_L,J1.8(GPIO25) ; U1.9,3.3 V
Y_DIR_L,J1.7(GPIO33) ; U1.12,3.3 V
Z_STEP_L,J1.6(GPIO32) ; U2.2,3.3 V
Z_DIR_L,J2.1(GPIO23) ; U2.5,3.3 V
A_STEP_L,J2.7(GPIO19) ; U2.9,3.3 V
A_DIR_L,J2.8(GPIO18) ; U2.12,3.3 V
C_STEP_L,J2.9(GPIO17) ; U3.2,3.3 V
C_DIR_L,J2.10(GPIO16) ; U3.5,3.3 V
ENA_L,J2.2(GPIO22) ; U3.9,3.3 V - disable partage 5 drivers
SPDL_L,J2.5(GPIO21) ; U3.12,3.3 V - commande broche
X_STEP,U1.3 ; R1.1,Sortie tampon 5 V
X_DIR,U1.6 ; R2.1,Sortie tampon 5 V
Y_STEP,U1.8 ; R3.1,Sortie tampon 5 V
Y_DIR,U1.11 ; R4.1,Sortie tampon 5 V
Z_STEP,U2.3 ; R5.1,Sortie tampon 5 V
Z_DIR,U2.6 ; R6.1,Sortie tampon 5 V
A_STEP,U2.8 ; R7.1,Sortie tampon 5 V
A_DIR,U2.11 ; R8.1,Sortie tampon 5 V
C_STEP,U3.3 ; R9.1,Sortie tampon 5 V
C_DIR,U3.6 ; R10.1,Sortie tampon 5 V
X_PUL,R1.2 ; J11.1,Vers TB6600 X - PUL+
X_DIRO,R2.2 ; J11.2,Vers TB6600 X - DIR+
Y_PUL,R3.2 ; J12.1,Vers TB6600 Y - PUL+
Y_DIRO,R4.2 ; J12.2,Vers TB6600 Y - DIR+
Z_PUL,R5.2 ; J13.1,Vers TB6600 Z - PUL+
Z_DIRO,R6.2 ; J13.2,Vers TB6600 Z - DIR+
A_PUL,R7.2 ; J14.1,Vers TB6600 A - PUL+
A_DIRO,R8.2 ; J14.2,Vers TB6600 A - DIR+
C_PUL,R9.2 ; J15.1,Vers TB6600 C - PUL+
C_DIRO,R10.2 ; J15.2,Vers TB6600 C - DIR+
ENA_B,U3.8 ; R11.1,Sortie tampon ENA (3OE pilote par ESTOP)
ENA_BASE,R11.2 ; R12.2 ; Q3.B,Base du suiveur - R12 tire a 5 V si sortie Hi-Z (E-STOP)
ENA_BUS,Q3.E ; R30.1 ; Q4.G ; J11.3 ; J12.3 ; J13.3 ; J14.3 ; J15.3,ENA+ des 5 drivers - HAUT = drivers desactives
SPDL_B,U3.11 ; R13.1,Sortie tampon grille (4OE pilote par ESTOP)
SPDL_G,R13.2 ; R14.1 ; Q1.G ; R32.1,Grille MOSFET broche - R14 100k maintient OFF au boot
ESTOP,J2.13(GPIO15) ; R23.2 ; R24.2 ; C10.1 ; D8.1 ; U3.10 ; U3.13 ; Q2.G,Noeud E-STOP - HAUT = declenche
ESTOP_T,J6.1 ; R23.1,Cote bornier - bouton NF vers GND
LIM_X,J1.?(GPIO4) ; R15.2 ; R19.2 ; C6.1 ; D4.1,Voir tableau brochage - GPIO4
LIM_X_T,J7.1 ; R15.1,Cote bornier X
LIM_Y,GPIO13 ; R16.2 ; R20.2 ; C7.1 ; D5.1,GPIO13
LIM_Y_T,J8.1 ; R16.1,Cote bornier Y
LIM_Z,GPIO14 ; R17.2 ; R21.2 ; C8.1 ; D6.1,GPIO14
LIM_Z_T,J9.1 ; R17.1,Cote bornier Z
LIM_A,GPIO5 ; R18.2 ; R22.2 ; C9.1 ; D7.1,GPIO5
LIM_A_T,J10.1 ; R18.1,Cote bornier A
LOOP_X,J7.2 ; JP2.1,Boucle serie MIN+MAX - shunt JP2 ferme si un seul capteur
LOOP_Y,J8.2 ; JP3.1,idem
LOOP_Z,J9.2 ; JP4.1,idem
LOOP_A,J10.2 ; JP5.1,idem
PS_ON,J5.1 ; JP6.1,Fil vert ATX - mis a la masse via contact NF n2 du coup-de-poing
+12V_SP,J4.1 ; F1.1,Entree 12 V broche fort courant
+12V_SPF,F1.2 ; J4.2 ; D2.K ; C11.+ ; C12.1,Apres fusible 20 A - va au + du moteur 775
MOT_N,J4.3 ; D2.A ; Q1.D,Retour - du moteur 775 vers le drain du MOSFET
