rayon_mm,hauteur_mm
0.3717,-0.0038
0.7959,-0.0157
1.1906,-0.0356
1.5876,-0.0634
1.9877,-0.0994
2.3827,-0.1420
2.7745,-0.1930
3.1674,-0.2521
3.5594,-0.3190
3.9496,-0.3937
4.3385,-0.4762
4.7269,-0.5670
5.1144,-0.6649
5.4971,-0.7699
5.8765,-0.8823
6.2552,-1.0033
6.6332,-1.1316
7.0047,-1.2664
7.3755,-1.4097
7.7455,-1.5610
8.1101,-1.7181
8.4713,-1.8831
8.8341,-2.0571
9.1857,-2.2337
9.5354,-2.4198
9.8852,-2.6140
10.2306,-2.8151
10.5687,-3.0199
10.9015,-3.2327
11.2348,-3.4539
11.5622,-3.6813
11.8859,-3.9151
12.2006,-4.1522
12.5137,-4.3990
12.8225,-4.6510
13.1226,-4.9072
13.4212,-5.1727
13.7146,-5.4433
14.0011,-5.7185
14.2815,-5.9989
14.5567,-6.2854
14.8273,-6.5788
15.0928,-6.8774
15.3490,-7.1775
15.6010,-7.4863
15.8478,-7.7994
16.0849,-8.1141
16.3187,-8.4378
16.5461,-8.7652
16.7673,-9.0985
16.9801,-9.4313
17.1849,-9.7694
17.3860,-10.1148
17.5802,-10.4646
17.7663,-10.8143
17.9429,-11.1659
18.1169,-11.5287
18.2819,-11.8899
18.4390,-12.2545
18.5903,-12.6245
18.7336,-12.9953
18.8684,-13.3668
18.9967,-13.7448
19.1177,-14.1235
19.2301,-14.5029
19.3351,-14.8856
19.4330,-15.2731
19.5238,-15.6615
19.6063,-16.0504
19.6810,-16.4406
19.7479,-16.8326
19.8070,-17.2255
19.8580,-17.6173
19.9006,-18.0123
19.9366,-18.4124
19.9644,-18.8094
19.9843,-19.2041
19.9956,-19.6021
20.0002,-20.0328
